scientific_name,name
Anthipes solitaris,アカメヒタキ
Anthobaphes violacea,オナガゴシキタイヨウチョウ
Anthocephala berlepschi,トリマハチドリ
Anthocephala floriceps,チャガシラハチドリ
Anthochaera carunculata,アカミミダレミツスイ
Anthochaera chrysoptera,ハイガシラミツスイ
Anthochaera lunulata,ギンホオミツスイ
Anthochaera paradoxa,キミミダレミツスイ
Anthochaera phrygia,キガオミツスイ
Anthornis melanocephala,チャタムミツスイ
Anthornis melanura,ニュージーランドミツスイ
Anthoscopus caroli,アフリカツリスガラ
Anthoscopus flavifrons,キンビタイアフリカツリスガラ
Anthoscopus minutus,キバラアフリカツリスガラ
Anthoscopus musculus,ネズミアフリカツリスガラ
Anthoscopus parvulus,キイロアフリカツリスガラ
Anthoscopus punctifrons,コモンアフリカツリスガラ
Anthracoceros albirostris,キタカササギサイチョウ
Anthracoceros coronatus,カササギサイチョウ
Anthracoceros malayanus,クロサイチョウ
Anthracoceros marchei,パラワンサイチョウ
Anthracoceros montani,ハシグロサイチョウ
Anthracothorax dominicus,ウスミドリマンゴーハチドリ
Anthracothorax mango,ジャマイカマンゴーハチドリ
Anthracothorax nigricollis,ムナグロマンゴーハチドリ
Anthracothorax prevostii,アオムネマンゴーハチドリ
Anthracothorax veraguensis,パナママンゴーハチドリ
Anthracothorax viridigula,アオノドマンゴーハチドリ
Anthracothorax viridis,ミドリマンゴーハチドリ
Anthreptes anchietae,アカハラコバシタイヨウチョウ
Anthreptes aurantius,ルリイロコバシタイヨウチョウ
Anthreptes gabonicus,メジロコバシタイヨウチョウ
Anthreptes longuemarei,スミレコバシタイヨウチョウ
Anthreptes malacensis,チャノドコバシタイヨウチョウ
Anthreptes neglectus,ムラサキコバシタイヨウチョウ
Anthreptes orientalis,ヒガシスミレコバシタイヨウチョウ
Anthreptes rectirostris,キノドコバシタイヨウチョウ
Anthreptes reichenowi,ノドグロコバシタイヨウチョウ
Anthreptes rhodolaemus,ノドアカコバシタイヨウチョウ
Anthreptes rubritorques,アカオビコバシタイヨウチョウ
Anthreptes seimundi,コミドリタイヨウチョウ
Anthreptes simplex,オリーブコバシタイヨウチョウ
Anthus antarcticus,サウスジョージアタヒバリ
Anthus australis,オーストラリアマミジロタヒバリ
Anthus berthelotii,カナリータヒバリ
Anthus bogotensis,アンデスタヒバリ
Anthus brachyurus,ヒメタヒバリ
Anthus caffer,クサハラタヒバリ
Anthus campestris,ムジタヒバリ
Anthus cervinus,ムネアカタヒバリ
Anthus chacoensis,ウスキイロタヒバリ
Anthus chii,キイロタヒバリ
Anthus cinnamomeus,アフリカマミジロタヒバリ
Anthus correndera,セジマタヒバリ
Anthus crenatus,フナシイワタヒバリ
Anthus furcatus,コバシタヒバリ
Anthus godlewskii,コマミジロタヒバリ
Anthus gustavi,セジロタヒバリ
Anthus gutturalis,パプアタヒバリ
Anthus hellmayri,ウスイロタヒバリ
Anthus hodgsoni,ビンズイ
Anthus hoeschi,ヤママミジロタヒバリ
Anthus japonicus,タヒバリ
Anthus leucophrys,チャイロタヒバリ
Anthus lineiventris,スジハラタヒバリ
Anthus melindae,シロハラタヒバリ
Anthus nattereri,キムネタヒバリ
Anthus nilghiriensis,ニルギリタヒバリ
Anthus novaeseelandiae,ニュージーランドマミジロタヒバリ
Anthus nyassae,アンゴラタヒバリ
Anthus pallidiventris,アシナガタヒバリ
Anthus peruvianus,ペルータヒバリ
Anthus petrosus,ニシヨーロッパタヒバリ
Anthus pratensis,マキバタヒバリ
Anthus richardi,マミジロタヒバリ
Anthus roseatus,ウスベニタヒバリ
Anthus rubescens,アメリカタヒバリ
Anthus ruficollis,マダンガメジロ
Anthus rufulus,ヒメマミジロタヒバリ
Anthus similis,ハシナガビンズイ
Anthus sokokensis,ウロコタヒバリ
